B,M,N,K
1,1,1024,4096
1,4,1024,4096
1,8,1024,4096
1,16,1024,4096
1,32,1024,4096
1,48,1024,4096
1,64,1024,4096
1,96,1024,4096
1,128,1024,4096
1,256,1024,4096
1,512,1024,4096
1,1024,1024,4096
1,2048,1024,4096
1,4096,1024,4096
2,1,1024,4096
2,4,1024,4096
2,8,1024,4096
2,16,1024,4096
2,32,1024,4096
2,48,1024,4096
2,64,1024,4096
2,96,1024,4096
2,128,1024,4096
2,256,1024,4096
2,512,1024,4096
2,1024,1024,4096
2,2048,1024,4096
2,4096,1024,4096
8,1,1024,4096
8,4,1024,4096
8,8,1024,4096
8,16,1024,4096
8,32,1024,4096
8,48,1024,4096
8,64,1024,4096
8,96,1024,4096
8,128,1024,4096
8,256,1024,4096
8,512,1024,4096
8,1024,1024,4096
8,2048,1024,4096
8,4096,1024,4096
16,1,1024,4096
16,4,1024,4096
16,8,1024,4096
16,16,1024,4096
16,32,1024,4096
16,48,1024,4096
16,64,1024,4096
16,96,1024,4096
16,128,1024,4096
16,256,1024,4096
16,512,1024,4096
16,1024,1024,4096
16,2048,1024,4096
16,4096,1024,4096
