cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,4352,4096,ck,8,2,25.4117,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.4,701.98,0.0
256,8,4352,4096,ck,8,3,13.7522,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.74,1303.66,0.0
256,16,4352,4096,ck,12,1,19.4673,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,29.3,926.2,0.0
256,32,4352,4096,ck,12,0,26.5166,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,43.02,687.7,0.0
256,64,4352,4096,ck,18,1,28.6298,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,79.7,651.24,0.0
256,128,4352,4096,ck,0,1,32.1296,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,142.03,605.8,0.0
256,1024,4352,4096,ck,3,1,80.9054,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,451.23,382.34,0.0
256,4096,4352,4096,ck,2,0,211.2346,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,691.31,332.59,0.0
256,8192,4352,4096,ck,0,1,341.1411,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,856.12,359.63,0.0
256,16384,4352,4096,cktile,11,1,349.6717,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1670.47,650.73,0.0
256,32768,4352,4096,cktile,11,1,898.0041,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1300.92,486.92,0.0
256,65536,4352,4096,ck,0,1,1780.0096,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1312.61,481.28,0.0
256,131072,4352,4096,ck,0,2,3404.8826,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1372.42,497.98,0.0
256,262144,4352,4096,cktile,11,3,4868.295,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1919.74,692.91,0.0
