M,N,K
1, 4352, 4096
4, 4352, 4096
8, 4352, 4096
16, 4352, 4096
32, 4352, 4096
64, 4352, 4096
128, 4352, 4096
1024, 4352, 4096
4096, 4352, 4096
8192, 4352, 4096
16384, 4352, 4096
32768, 4352, 4096
65536, 4352, 4096
131072, 4352, 4096
262144, 4352, 4096
524288, 4352, 4096
1, 2176, 4096
4, 2176, 4096
8, 2176, 4096
16, 2176, 4096
32, 2176, 4096
64, 2176, 4096
128, 2176, 4096
1024, 2176, 4096
4096, 2176, 4096
8192, 2176, 4096
16384, 2176, 4096
32768, 2176, 4096
65536, 2176, 4096
131072, 2176, 4096
262144, 2176, 4096
524288, 2176, 4096
1, 3072, 4096
4, 3072, 4096
8, 3072, 4096
16, 3072, 4096
32, 3072, 4096
64, 3072, 4096
128, 3072, 4096
1024, 3072, 4096
4096, 3072, 4096
8192, 3072, 4096
16384, 3072, 4096
32768, 3072, 4096
65536, 3072, 4096
131072, 3072, 4096
262144, 3072, 4096
524288, 3072, 4096
1, 1536, 4096
4, 1536, 4096
8, 1536, 4096
16, 1536, 4096
32, 1536, 4096
64, 1536, 4096
128, 1536, 4096
1024, 1536, 4096
4096, 1536, 4096
8192, 1536, 4096
16384, 1536, 4096
32768, 1536, 4096
65536, 1536, 4096
131072, 1536, 4096
262144, 1536, 4096
524288, 1536, 4096
1, 4096, 2048
4, 4096, 2048
8, 4096, 2048
16, 4096, 2048
32, 4096, 2048
64, 4096, 2048
128, 4096, 2048
1024, 4096, 2048
4096, 4096, 2048
8192, 4096, 2048
16384, 4096, 2048
32768, 4096, 2048
65536, 4096, 2048
131072, 4096, 2048
262144, 4096, 2048
524288, 4096, 2048
1, 4096, 1024
4, 4096, 1024
8, 4096, 1024
16, 4096, 1024
32, 4096, 1024
64, 4096, 1024
128, 4096, 1024
1024, 4096, 1024
4096, 4096, 1024
8192, 4096, 1024
16384, 4096, 1024
32768, 4096, 1024
65536, 4096, 1024
131072, 4096, 1024
262144, 4096, 1024
524288, 4096, 1024
1, 64, 4096
4, 64, 4096
8, 64, 4096
16, 64, 4096
32, 64, 4096
64, 64, 4096
128, 64, 4096
1024, 64, 4096
4096, 64, 4096
8192, 64, 4096
16384, 64, 4096
32768, 64, 4096
65536, 64, 4096
131072, 64, 4096
262144, 64, 4096
524288, 64, 4096
